source,target,distance_km,intersections
3122,4821,5.08169043193306,1
3126,970,4.410709002337402,1
3126,2000,2.687129787571221,1
3126,2200,1.277016559524857,1
3126,2820,7.0172229168456575,1
3126,2825,5.605918232753143,1
3126,2827,5.541958930833904,1
3126,2846,5.167936437982306,1
3126,3001,6.875101074817316,1
3126,3002,6.5034149557362735,1
3126,3120,3.6904011667163896,1
3126,3122,3.035524395709299,1
3126,3127,1.8560595427725444,1
3126,3180,3.7640193371726736,1
3126,3662,6.608746368962566,1
3126,3682,1.0326590319880056,1
3126,3685,3.022223539274557,1
3126,3804,3.253702386042331,1
3126,3812,3.4753919320783844,1
3126,4030,4.794493808278895,1
3126,4032,4.370621144760625,1
3126,4034,3.9064369305257256,1
3126,4035,3.7436435320401733,1
3126,4040,3.8484992224781225,1
3126,4043,4.569050939579512,1
3126,4051,4.533556780616966,1
3126,4057,3.0015647848445175,1
3126,4063,2.2464666272427913,1
3126,4262,7.394588654656404,1
3126,4263,6.4981795310294235,1
3126,4264,5.704325685366513,1
3126,4266,14497.09450164025,1
3126,4270,5.7831045980525255,1
3126,4272,4.60427475387006,1
3126,4273,5.25716358371953,1
3126,4321,5.276277067484397,1
3126,4324,5.784374973099848,1
3126,4335,6.0841187634119045,1
3126,4812,7.238440285507429,1
3126,4821,8.108720022959991,1
3127,970,4.81699473899992,1
3127,2000,3.2899579482646084,1
3127,2200,2.0173982283153915,1
3127,2820,5.344092748054438,1
3127,2825,4.500044074864006,1
3127,2827,4.907385169437415,1
3127,2846,4.391077828234595,1
3127,3001,5.022743693812214,1
3127,3002,4.651759889377028,1
3127,3120,1.8344700807902112,1
3127,3122,1.1801605965165478,1
3127,3126,1.8560595427725444,1
3127,3180,3.2580762671914485,1
3127,3662,4.786276451562565,1
3127,3682,2.128255767436023,1
3127,3685,3.574246049959063,1
3127,3804,1.6437437449300525,1
3127,3812,2.0140044299188444,1
3127,4030,3.5461698368452645,1
3127,4032,2.9535332603777067,1
3127,4034,2.221643024485315,1
3127,4035,1.930565374680758,1
3127,4040,2.1489214981829203,1
3127,4043,3.2828017963606033,1
3127,4051,3.511012506590892,1
3127,4057,2.3335013070494712,1
3127,4063,1.2391740610696405,1
3127,4262,5.544629157810575,1
3127,4263,4.650306479734893,1
3127,4264,3.858901502284018,1
3127,4266,14495.91853128174,1
3127,4270,3.9796629331765936,1
3127,4272,2.852782532328789,1
3127,4273,3.823544089077621,1
3127,4321,3.684638557172567,1
3127,4324,3.982320808709392,1
3127,4335,4.304373272373854,1
3127,4812,5.421001488810784,1
3127,4821,6.2547968019724,1
3180,970,7.916175514083351,1
3180,2000,6.24948264957648,1
3180,2200,2.5779061003180743,1
3180,2820,4.654924509890259,1
3180,2825,2.1798646224020812,1
3180,2827,1.7788882159537969,1
3180,2846,7.5881260743839904,1
3180,3001,5.756295326319706,1
3180,3002,5.432976376136784,1
3180,3120,3.75143235806299,1
3180,3122,3.503849987608123,1
3180,3126,3.7640193371726736,1
3180,3127,3.2580762671914485,1
3180,3662,5.129861280992296,1
3180,3682,4.688417865268146,1
3180,3685,6.571960263827834,1
3180,3804,4.538140600541146,1
3180,3812,4.997574571014315,1
3180,4030,1.8644702250804703,1
3180,4032,2.0790997607871806,1
3180,4034,2.731298258106091,1
3180,4035,3.239960362767413,1
3180,4040,4.753346818381555,1
3180,4043,6.261572730116167,1
3180,4051,1.2589168459964155,1
3180,4057,0.9246715341969284,1
3180,4063,2.0189319646807986,1
3180,4262,6.664599252590805,1
3180,4263,5.944069939138193,1
3180,4264,5.343328633915861,1
3180,4266,14498.420224683896,1
3180,4270,5.7977360044611785,1
3180,4272,5.137055573451311,1
3180,4273,6.593802006577706,1
3180,4321,3.0544798255933183,1
3180,4324,4.332599805620097,1
3180,4335,4.410962596555357,1
3180,4812,6.926438809711658,1
3180,4821,6.8665113072049895,1
3662,970,8.578370856687139,1
3662,2000,7.561279335919962,1
3662,2200,6.254159830552037,1
3662,2820,1.580819155897177,1
3662,2825,3.9023606439799283,1
3662,2827,5.356593966573819,1
3662,2846,6.422433267355185,1
3662,3001,0.7736823557176494,1
3662,3002,0.6866085895592626,1
3662,3120,3.036551379307801,1
3662,3122,3.66169770109433,1
3662,3126,6.608746368962566,1
3662,3127,4.786276451562565,1
3662,3180,5.129861280992296,1
3662,3682,6.855973959979454,1
3662,3685,7.741687864565774,1
3662,3804,4.1047764678526555,1
